num_mel_bins	xent	frame_length	batch_size	lr	frame_shift	accuracy
102	0.3418388220609403	49.0	64	0.02997492251194441	38.0	88.58428805237317
91	0.34694040191718956	55.0	64	0.35279391700299034	53.0	88.7684124386252
99	0.3436194693584458	57.0	64	0.886337397937065	50.0	89.09574468085107
89	0.2741232171557308	46.0	64	0.28376089476815813	45.0	90.67103109656301
75	0.23504107369237817	33.0	64	0.02154819530981185	27.0	92.4099836333879
84	0.2240588730261996	56.0	64	0.06188762578346332	38.0	92.47135842880525
84	0.20354444964551457	37.0	64	0.027158671997619063	29.0	92.98281505728315
47	0.2023421271758921	30.0	64	0.13222747057986275	28.0	93.28968903436989
118	0.21694986731593124	9.0	64	0.19519728460960098	5.0	93.28968903436989
10	0.20902943552709094	31.0	64	0.013630806081015266	22.0	93.35106382978722
62	0.20419626254466625	58.0	64	0.63369917564681	25.0	93.51472995090016
101	0.20049736130179144	8.0	64	0.5475891546279302	6.0	93.71931260229132
58	0.18064413698438822	12.0	64	0.7332933287778886	10.0	93.8011456628478
66	0.2006093436986013	8.0	64	0.027523640872162188	8.0	93.86252045826514
119	0.202885500131041	44.0	64	0.056460035322436194	9.0	93.86252045826514
21	0.18761789803606232	26.0	64	0.046828973747475126	24.0	93.92389525368249
14	0.17451508861838602	22.0	64	0.2787946729787721	20.0	94.10801963993454
46	0.1734902971071112	45.0	64	0.038892549588124756	28.0	94.29214402618658
53	0.17161552002349126	22.0	64	0.010015789448474732	19.0	94.39443535188215
14	0.16795431428095875	10.0	64	0.0458413132202429	10.0	94.43535188216039
80	0.16949784361264286	8.0	64	0.9085997857958961	5.0	94.43535188216039
77	0.17664207362271603	8.0	64	0.9387580144433753	7.0	94.45581014729952
62	0.18189381670474616	17.0	64	0.010824525024847315	5.0	94.51718494271685
53	0.16110618321188525	40.0	64	0.059354897626658965	26.0	94.59901800327333
26	0.18156652431935072	34.0	64	0.9236780159611154	19.0	94.59901800327333
46	0.1565727817649448	10.0	64	0.20016400754315575	5.0	94.7013093289689
74	0.16455671715921436	44.0	64	0.05115239806011889	8.0	94.80360065466449
44	0.1541102277480212	16.0	64	0.39870626564231715	16.0	94.8240589198036
70	0.15824460213870004	14.0	64	0.031186057983708798	8.0	94.84451718494272
31	0.15248631038307364	35.0	64	0.877401393268855	14.0	94.92635024549918
44	0.16395155636264996	11.0	64	0.02811302388695444	5.0	95.06955810147299
51	0.14049435966934254	50.0	64	0.056756490994007515	14.0	95.2127659574468
28	0.13290325489832588	16.0	64	0.029891970452350265	10.0	95.39689034369886
26	0.14136846403719164	18.0	64	0.30564000662090623	15.0	95.41734860883797
38	0.1401727901881232	10.0	64	0.6554533273180998	5.0	95.45826513911621
72	0.1459758167879449	16.0	64	0.500799641768791	12.0	95.47872340425532
26	0.13077524622135303	36.0	64	0.051040865715630476	17.0	95.5810147299509
51	0.1357448697333632	45.0	64	0.029047271586059964	7.0	95.60147299509002
48	0.13152573344121182	31.0	64	0.06207484205285657	12.0	95.64238952536824
29	0.1305424962862352	10.0	64	0.016987376198904662	10.0	95.7037643207856
39	0.119849260628613	43.0	64	0.049779637786293296	10.0	95.86743044189852
